place_name,district,category,latitude,longitude,tags,activities,best_season,vibe,image_url,tripadvisor_place_id,tripadvisor_rating,tripadvisor_review_count,tripadvisor_description,review_1,review_2,review_3,review_4,tripadvisor_location,tripadvisor_thumbnail
Vaishno Devi Temple,Reasi,Temple,33.0301412,74.9479292,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/ca/ba/img-20190322-160253-425.jpg?w=1200&h=-1&s=1,1220004,4.7,2294,"Vaishno Devi, also known as Mata Rani, Trikuta and Vaishnavi, is a manifestation of the Hindu Mother Goddess of MahaKali, MahaSaraswati and MahaLakshmi.","It was probably my 10th visit to the holy shrine, the last one being over 8 years ago. I began the climb at 1610 hrs and the weather was very good. As I am a veteran, I had access to the Armed Forces facilities and my entry slip #0033 was made in advance. A  young colleague accompanied me to the starting point and I could save some time here. A photograph was taken prior to commencement of the climb in the army camp. Being in a hurry, I took only two five minutes breaks and used a climb of 360 stairs once. I had taken the conventional route on which ponies /horses, palanquins and carts are permitted. The entire route is full of eateries, some restaurants, cafes. Simian species are  plentiful, but were not seen to attack pilgrims. Post -Ardhkumari one can't use equine species. The view and the lights were awesome. There is a metallic grill on valley side of the route. Toilet facilities are adequate. One needs to be careful. Battery operated cars are available  if online booking is done. I was lucky to get a VIP darshan and quickly made my way back.  The environment is amazing . As  I began the downhill journey after the best darshan ever, I was mor observant and saw devotees young ,old, children, men and women moving towards the shrine as if pulled by a magnetic force. Post -Ardhkumari I took the Trikutta route down which was only for people wanting to walk up/down and was much quieter and with less gradient albeit a little longer.  I had some food in one 'langar' around 3 kms from the end of the descent. It is at a totally different point.  With some difficulty, I could get a cab to my hotel. All  pilgrims must factor the fact that prepaid sims from other parts of India can't be used in J &K.  I would strongly recommend a visit to the shrine for both religious and fitness aspects.","My Vaishno Devi helicopter yatra in 2026 was smooth, well organized, and truly peaceful. HelicopterBooking.org booking process was transparent, the journey time was short, and the overall atmosphere felt calm despite the crowd. Staff coordination at Katra and Sanjichhat was disciplined and helpful. This experience is especially ideal for families, senior citizens, and anyone seeking a comfortable and time saving yatra.",All facilities beautifully managed ... Thanks to Temple management... Visited December 18th 2025 ... No rush ... Jai Mata Di,"The journey to Vaishno Devi Mandir is not merely a visit; it is a profound pilgrimage (yatra). Located high in the Trikuta Mountains near Katra, the temple exudes an overwhelming spiritual energy that draws millions annually. The 13-kilometer ascent, whether undertaken by foot, pony, or helicopter, is challenging but deeply rewarding.","Jammu City, Jammu, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/8e/f7/37/vaishno-devi-mandir.jpg
Shankracharya Temple,Srinagar,Temple,34.078922,74.841535,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/9/9b/The_Ancient_Shankaracharya_Temple_%28Srinagar%2C_Jammu_and_Kashmir%29_%28cropped%29.jpg,338348,4.5,2154,,"Pros:-
1) Reaching the temple requires climbing around 240+ steep steps
2) 360° views of Dal Lake, the Jhelum River, the surrounding snow-capped mountains, and the entire city below.
3) The peaceful atmosphere and stunning scenery make the effort completely worthwhile.

Cons:
The public toilets at this place appear to be free, but the person managing or cleaning them seems to charge ₹10 per person for usage and event the toilets are dirtyt one  This issue should be reported to the concerned government authorities for immediate action.","It is a sacred Shiva Ji temple worth seeing . one can see panorama view of Srinagar it is situated on hill top where one can reach by climbing 240 stairs
Beautiful place to visit",One of the best temple where you can have 360 degree of city. You can pray and take their blessings. Washroom is available and clean . You hand to pay 10 rupee ton use then.,"Visiting Shankaracharya Temple was a truly peaceful and spiritually uplifting experience. Located at a height overlooking Srinagar, the temple offers breathtaking panoramic views of the city and Dal Lake, making the journey as memorable as the destination itself.","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/fb/3a/19/shankaracharya-temple.jpg
Avantipur Temple,Pulwama,Temple,33.921389,75.013611,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/49/7d/df/the-ruined-temple.jpg?w=1200&h=1200&s=1,3172750,4.3,50,,"Fantastic, made by Avantivarman in 9th century dedicated to Vishnu, destroyed in 14th century by Sikandar butshikan.","The Avantiswami Temple, located in Avantipora is a historic Hindu temple dedicated to Lord Vishnu. It was built by King Avantivarman in the 9th century during the rule of the Utpala dynasty. The temple is renowned for its impressive architecture, featuring intricate carvings and sculptures, typical of the Kashmiri style. Despite being partially damaged over the centuries, it still retains its grandeur and is considered a significant archaeological and cultural site.

On the way to Pahalgam, this is a must visit if you want to explore Kashmir beyond the touristy traps. ","Must visit.The Place is being restored by Archaeological Survey of India. One the way to srinagar from Pahalgam. Close to srinagar.Interesting place... These are ruins, but kept well now. To enjoy, do take guide , he is there itself. Will charge very nominal arnd Rs100 and he will epxlain it very nicely.They charge an entry fee to this place","Are they allowing people from jammu? Because we took a cab from jammu, we wanted to go there, but our driver said, they'll allow only the vehicles from srinagar/kashmir. Some mishap happened,some CRPF ppl is not letting outsiders. Is this true? 
So we are unable to go. 
","Awantipora, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/49/7d/df/the-ruined-temple.jpg
Bahu Fort & Temple,Jammu,Temple,32.7313513,74.8832877,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/88/31/df/loved-it.jpg?w=1200&h=-1&s=1,2708842,4.1,62,,"I visited the location and the view from the heights was   excellent, the grounds were well kept.  It was good seeing real citizens of Jammu enjoying the space , rather than only tourists. The local people were very hospitable and were eager to speak with a foreigner. The place is a good respite from the crowded temple areas in Jammu.","Had been to this fort a long back ago. This fort has huge walls and a garden located close to it.

This fort houses a temple dedicated to Goddess Kali and is visited by devotees. Entry to the fort is prohibited. Photography is allowed outside the fort. Near the fort, views of the Tawi river as well as the garden can be seen. Beware of monkeys roaming around in the vicinity. 

This place is good for families and friends. It is a must visit place while in Jammu.","The Bahu Fort is located in Jammu city in state of Jammu and Kashmir. The fort, said to be built by an earlier ruler, was refurbished during the Dogra Empire by Raja Gulab Singh in the 19th century.[1] The fort is a religious place, and within its precincts has a temple dedicated to the Hindu goddess Kali, the presiding deity of Jammu. The temple is known locally as the ""Bawe Wali Mata temple""","One of the best place to go with family. It is situated in Jammu city near to railway station. 
Places to see 
Temple in the fort
Fish aquarium
Beautiful garden 
And great view of tawi river.
","Jammu, Jammu, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/88/31/df/loved-it.jpg
Buddha Amarnath Temple,Poonch,Temple,33.8023838,74.2617643,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/Budha_amarnath.jpg,,,,,,,,,,
Ranbireshwar Temple,Jammu,Temple,32.7346866,74.8640795,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/59/da/58/beautiful.jpg?w=1200&h=-1&s=1,3731129,4.5,90,,There is so much calmness and feeling of divinity in this temple. Blessed to visit this place. There is one crystal shivling which is very powerful spiritually,We visited this temple on 15-Apr-2022 evening. There was no rush and hence darshans were very peaceful. We saw 1.25 lac Shivlings and also a magnificent murti of bholenath's wedding ceremony. We had not seen it before anywhere. Thank you Mahadev ji for your blessings.,"Its an old heritage place in Jammu. Dedicated to Lord Shiva. Amazing place and peaceful atmosphere. Must visit here, when you visit in Jammu.",It is a very important Shiva Temple which has historical effects.The temple is very nice and very important for the Citizen of jammu.it is one of must visit place .,"Jammu City, Jammu, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/59/da/58/beautiful.jpg
Aru valley,Pahalgham,Hill Station,34.090833,75.263333,"river,water,nature,scenic","rafting,valley sightseeing, and pony rides",All Season,peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ec/dc/15/aru-city.jpg?w=1200&h=-1&s=1,6612088,4.2,964,,"My second trip to the Pahalgam circuit in two months as earlier  we couldn't' explore much beyond Pahalgam. We started in the morning around 8  passing through Pampore famous for Saffron, Cricket Bats and Dryfruits. After leaving Highway at Bijbehara  Apple 🍎 Orchards on both sides of road which is must visit from July to October to see feel, eat and photograph also fresh juice and other apple products. Traffic thinned,  river running along  scenic beauty of meadows, mountains with snow capped peaks making journeys memorable having breaks for refreshment and photos. 
Upon reaching Pahalgam enjoyed two rivers side by side with well maintained parks having ample flowers and fauna. Photography in local traditional dress is worth the time and money to cherish in memories.
Left Pahalgam for Aru Valley 7 kms away winding up and down mountains along with the river. The journey itself becomes more enjoyable than the destination.  Aru a smaller town with a meadow river and mountains around makes a good spot to stroll trek and relax.  While returning I found a lovely small Park on the river bank that had Lunch break.
Enjoyed going into the middle of the river and photography and feel of crystal clear chilly water.","Disgusting, because government does not educate people to avoid garbage.  Even in the river!!! !!! Trash everywhere and no trashbins around .","Not worth the time , extremely crowded and lot of vehicle restrictions , u have to walk a lot and the valley scene as as good as the route scenery, did not find it worth the effort if you are going for a day tour","Worth  seeing place , mind blowing scenery. One can do horse riding to explore more area. This place is not much developed.","Pahalgam, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ec/dc/15/aru-city.jpg
Dah & Hanu,Leh,Hill Station,34.6025,76.5112,"village,culture,heritage","sightsee, culture tour","Summer,Autumn",cultural,https://discoverlehladakh.in/wp-content/uploads/2020/11/Hanu-Yogma-village-of-Dah-Hanu-valley-of-Ladakh-960x530.jpg,,,,,,,,,,
Kishtwar,Kishtwar,Hill Station,33.311199,75.769699,"nature,valley,forest","trekking,sightsee","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/kishtwar-tourism.jpg,13181787,4.9,177,"Spend five days with a private guide exploring the Kashmir Valley on this private tour from Srinagar. Benefit from the personalized attention and customizable itinerary that comes with booking a private tour as you experience highlights such as the Hari Parbat Fort, the Jamia Masjid, the Pahalgam Valley, the Shankaracharya Temple, and Mughal Gardens, among others. All activities and meals per itinerary.","This trip package, food and accommodation everything was super. The staffs were very good. Everything was absolutely nice and we are planning a next group of trip with kashmir travels only.","Everything as booked by Classic Hoildays Kashmir and as requested we were booked in the best 5 star hotels in Srinagar,Gulmarg,Pahalgam and the ITC Houseboat in Srinagar.
The Lalit Palace Hotel,The Khyber Resort in Gulmarg and the Pine and Peak hotel in Pahalgam.
The car was small but the driver was very courteous.
The Makai di Roti and Sarson ka Saag on the roadside dhaba in Dudhpatri was very tempting.",I had one of the best experiences travelling to Kashmir this year Feb'2025. Kashmir travels curated the itinerary and it was an amazing experience to visit Kashmir. Nasir bhai continuously checked on us and helped us throughout the trip! Driver Arif bhai is one of the best guys you can have as he was very accommodating and guided us everywhere we roamed during the trip! :),"The stay in Gulmarg with best staff and beautiful location of hotel even housekeeping is the best service specially thanks to Jahangir pandit ,Majid and Adil  the hotel","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/84/60/caption.jpg
Patnitop,Udhampur,Hill Station,33.07778,75.326912,"hill station,nature,snow","sightsee, adventure,skiing","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/patnitop-tourism.jpg,,,,,,,,,,
Sonamarg,Ganderbal,Hill Station,34.30146,75.29252,"valley, nature,glacier","trekking,sightsee,sledding","Summer,Winter",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a5/9b/89/thajiwas-glacier.jpg?w=600&h=-1&s=1,9725379,4.7,126,"enthusiasticLocated in the valley of mountains with river Sindh flowing in the middle, is approximately 90 Kms from Srinagar. Sonamarg literally means ""Meadow of Gold"". This Golden meadow is Gateway to roof top of the world (Ladakh). Akbar Sonamarg is also ideal base for all the numerous sightseeing spots that makes Sonamarg so popular and unique. Hikes or horse rides to Thajwas Glacier or higher-up mountain treks and trout fishing can be arranged easily for enthusiastics.","I stayed here for 1 night on 29th of march 2026 . Excellent
Agar 5 ⭐ se jyada hota to mai wo bhi deta. Nice location, nice atmosphere, excellent hospitality, superb delicious food with buffet option . Thanks team AKBAR.","What a wonderful experience! Beautiful location, clean cozy rooms and delicious food. Farooq and his family were so kind and welcoming. I could not have asked for more. Highly recommend!","We had an absolutely amazing stay at Hotel Akbar, Sonamarg, our group of 4 families (9 adults and 4 kids). The property is nestled in a stunningly beautiful location, offering breathtaking views and a serene atmosphere — perfect for a peaceful getaway. A special mention to Mr. Arshid, a soft-spoken and courteous gentleman, make me book our stay in this property. The food was delicious & despite the chilly temperature of -7°C, the hotel ensured a warm and cozy experience. I would happily give 5 star rating  it is a great value for money, with competitive rates and high-quality service and highly recommend Hotel Akbar to anyone visiting Sonamarg.  

Regards, 
Umesh Yadav
Mumbai","I am staying for 3 nights with my friends'
Food is osm & location was nice '
Rooms are neet and cleane .staff was humble especially mr faizan .
I segest all guests who visit sonamarg 'try hotel akbar sonamarg. What you  want you take in this  hotel ;","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/06/9e/5a/hotel-akbar-sonamarg.jpg
Srinagar,Srinagar,Hill Station,34.083656,74.797371,"city,lake,heritage, culture","boating,sightsee,shopping",All Season,cultural,https://www.tourmyindia.com/socialimg/srinagar-tourism-kashmir.jpg,13181787,4.9,177,"Spend five days with a private guide exploring the Kashmir Valley on this private tour from Srinagar. Benefit from the personalized attention and customizable itinerary that comes with booking a private tour as you experience highlights such as the Hari Parbat Fort, the Jamia Masjid, the Pahalgam Valley, the Shankaracharya Temple, and Mughal Gardens, among others. All activities and meals per itinerary.","This trip package, food and accommodation everything was super. The staffs were very good. Everything was absolutely nice and we are planning a next group of trip with kashmir travels only.","Everything as booked by Classic Hoildays Kashmir and as requested we were booked in the best 5 star hotels in Srinagar,Gulmarg,Pahalgam and the ITC Houseboat in Srinagar.
The Lalit Palace Hotel,The Khyber Resort in Gulmarg and the Pine and Peak hotel in Pahalgam.
The car was small but the driver was very courteous.
The Makai di Roti and Sarson ka Saag on the roadside dhaba in Dudhpatri was very tempting.",I had one of the best experiences travelling to Kashmir this year Feb'2025. Kashmir travels curated the itinerary and it was an amazing experience to visit Kashmir. Nasir bhai continuously checked on us and helped us throughout the trip! Driver Arif bhai is one of the best guys you can have as he was very accommodating and guided us everywhere we roamed during the trip! :),"The stay in Gulmarg with best staff and beautiful location of hotel even housekeeping is the best service specially thanks to Jahangir pandit ,Majid and Adil  the hotel","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/84/60/caption.jpg
Gulmarg,Baramulla,Hill Station,34.0853,74.3805,"hill station,nature,snow","skiing, gondola,ride,sightsee","Winter,Summer",scenic,https://mnmtravels.in/images/blogs/c4b7d41b422c25a8591d521141c7322f.png,,,,,,,,,,
Shalimar Garden,Srinagar,Garden,34.1497073,74.873228,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://upload.wikimedia.org/wikipedia/commons/d/d6/Shalimar_Bagh_1.jpg,1228761,4.2,1338,,"Pros:-
1) The flower beds, Chinar trees, water cascades, and sunset views make it very photogenic
2)  here’s enough open space for kids and elderly visitors to enjoy at a slower pace. It’s commonly included in Srinagar sightseeing itineraries

Cons:
1) strong sunlight during midday, so early morning or evening visits are more comfortable.",Best experience ..1 and half hr enjoyed the garden and its views . Addmission fee was not that expensive . It has 7 terraces . enchanting view of mountain as well as dal lake . It is mesmerizing at the sunset time .,Beautiful garden surrounded by mountains the flowers are gorgeous and the views are stunning it’s very relaxing and peaceful place,"Nishat Garden is truly a paradise on earth and one of the most beautiful places to visit in Srinagar. Surrounded by the majestic Zabarwan mountain range on one side and overlooking the serene Dal Lake on the other, the garden offers breathtaking views that leave you mesmerized.

The terraced lawns, flowing fountains, and vibrant flowerbeds are perfectly maintained, making it an ideal spot for relaxation, photography, and family outings. The Mughal architecture adds historical charm, while the peaceful atmosphere makes it a perfect escape from the city’s hustle.

Whether you are a nature lover, history enthusiast, or simply someone looking to enjoy a calm evening by the lake, Nishat Garden is a must-visit. I would highly recommend it to anyone traveling to Kashmir—its beauty and tranquility are unforgettable.

⭐️⭐️⭐️⭐️⭐️","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/7a/66/d8/when-shah-jahan-saw-the.jpg
Nishat Bagh,Srinagar,Garden,34.1253466,74.8815312,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/7a/66/d8/when-shah-jahan-saw-the.jpg?w=900&h=500&s=1,,,,,,,,,,
Chashma Shahi,Srinagar,Garden,34.085833,74.864722,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://www.tourmyindia.com/states/jammu-kashmir/image/chashme-shahi-srinagar.jpg,3149376,4,926,,A beautiful garden having a spring of sweet water One can see beautiful flower beds. There are fountain giving a mesmerising view.,"Chashme Shahi is a beautifully maintained Mughal garden built around a medicinal spring with three cascading terraces and fountains—small but charming and peaceful 
ust above it lies Pari Mahal, a tranquil, seven-terraced garden that offers sweeping views of Dal Lake and the city—ideal for photography and sunsets 
 On the route, don’t miss the Botanical Garden too, nestled along the same scenic stretch .bEntry is very affordable at ₹30, and you can easily visit all three with a shared auto that charges ₹300 including waiting time—a convenient and value-for-money option.","We visited during afternoon. There was not much rush. Chashma Shahi, also known as the ""Royal Spring,"" is one of the most beautiful and historically rich Mughal gardens in Srinagar, Kashmir. This charming terraced garden offers a blend of natural beauty, Persian architecture, and cultural heritage. The highlight of Chashma Shahi is its fresh water spring, believed to have medicinal properties. I heard,  Pandit Jaharlal Neheru used to drink this water. The water flows gracefully through the garden's terraced layout, adding a soothing charm to the atmosphere. This garden was well maintained  and refreshing.
You have to came here by toto or auto from Tulip Garden. Entry ticket Rs. 30 for adult and Rs. 15 for child.","The Chashme Shahi Garden commissioned by the Mughal Emperor Shah Jahan is worth a visit. The garden
Is designed artistically but the main attraction is the spring known to have medicinal properties. Enjoyable visit.","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/39/07/29/psx-20180521-190034-largejpg.jpg
Pari Mahal,Srinagar,Garden,34.0778,74.8761,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,"https://assets.cntraveller.in/photos/61eff70d4d495b4b023dc466/3:2/w_1620,h_1080,c_limit/parimahal%20lead.jpg",2085964,4.2,921,,"1) Its unique positioning high up on the Zabarwan hills provides arguably the most peaceful and uninterrupted bird's-eye view of Dal Lake and the Srinagar cityscape below.  
2) he physical structure mirrors its spiritual history. The visible transitions from a Buddhist monastery to an Islamic center of learning give it a multi-layered historic energy that few other sites in the region possess.",While in Srinagar one must see Parimahal . Full of seasonal flowers and trees where cutting is done ornamentaly,Best garden in Srinagar very ancient place like caves absolutely loved it would recommend this attraction to everyone,"Pari Mahal—literally the ‘Palace of Fairies’—is a stunning seven-terraced garden perched high on the Zabarwan Range, offering panoramic views of Srinagar and Dal Lake. Entry is just ₹30 . Whether you visit in the golden glow of sunset or during clear summer skies, the breathtaking vistas and serene gardens make it a must-visit spot in the city. Plus, it’s conveniently close to Chashme Shahi and the Botanical Garden—perfect for a peaceful, scenic outing!","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/71/b8/ed/pari-mahal.jpg
Harwan Garden,Srinagar,Garden,34.1596124,74.9042444,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://www.tourmyindia.com/states/jammu-kashmir/image/harwan-garden1.jpg,1228761,,,,,,,,,
